[slumbot] Building 169-bucket preflop abstraction...
[slumbot] Abstraction built in 278.68s
[slumbot] Training NL MCCFR for 1 iterations (169 buckets)...
  [Resume] Loading checkpoint from checkpoint_60M_total.dat ...
  [Resume] Loaded P0=179615196 P1=217724256 info sets. Continuing training.
[slumbot] Training complete in 269.00s. P0: 179615196, P1: 217724256 info sets
[slumbot] Starting session: LIVE (slumbot.com), 25000 hands
[slumbot] Hand 1860/25000: won=-50 total=-233439 (-1255.05 mbb/hand)
[slumbot] Hand 1870/25000: won=-2500 total=-229764 (-1228.68 mbb/hand)
[slumbot] Hand 1880/25000: won=-50 total=-229764 (-1222.15 mbb/hand)
[slumbot] Hand 1890/25000: won=-100 total=-230214 (-1218.06 mbb/hand)
[slumbot] Hand 1900/25000: won=100 total=-230339 (-1212.31 mbb/hand)
[slumbot] Hand 1910/25000: won=-50 total=-250989 (-1314.08 mbb/hand)
[slumbot] Hand 1920/25000: won=100 total=-250439 (-1304.37 mbb/hand)
[slumbot] Hand 1930/25000: won=825 total=-249614 (-1293.34 mbb/hand)
[slumbot] Hand 1940/25000: won=-50 total=-249814 (-1287.70 mbb/hand)
[slumbot] Hand 1950/25000: won=-200 total=-250139 (-1282.76 mbb/hand)
[slumbot] Hand 1960/25000: won=100 total=-250364 (-1277.37 mbb/hand)
[slumbot] Hand 1970/25000: won=200 total=-232614 (-1180.78 mbb/hand)
[slumbot] Hand 1980/25000: won=1000 total=-250514 (-1265.22 mbb/hand)
[slumbot] Hand 1990/25000: won=100 total=-250789 (-1260.25 mbb/hand)
[slumbot] Hand 2000/25000: won=-50 total=-251764 (-1258.82 mbb/hand)
[slumbot] Hand 2010/25000: won=-400 total=-271364 (-1350.07 mbb/hand)
[slumbot] Hand 2020/25000: won=200 total=-290414 (-1437.69 mbb/hand)
[slumbot] Hand 2030/25000: won=275 total=-290189 (-1429.50 mbb/hand)
[slumbot] Hand 2040/25000: won=100 total=-289139 (-1417.35 mbb/hand)
[slumbot] Hand 2050/25000: won=-50 total=-288589 (-1407.75 mbb/hand)
[slumbot] Hand 2060/25000: won=100 total=-289164 (-1403.71 mbb/hand)
[slumbot] Hand 2070/25000: won=-50 total=-288364 (-1393.06 mbb/hand)
[slumbot] Hand 2080/25000: won=1000 total=-286514 (-1377.47 mbb/hand)
[slumbot] Hand 2090/25000: won=-50 total=-286339 (-1370.04 mbb/hand)
[slumbot] Hand 2100/25000: won=-50 total=-285439 (-1359.23 mbb/hand)
[slumbot] Hand 2110/25000: won=-50 total=-287839 (-1364.17 mbb/hand)
[slumbot] Hand 2120/25000: won=400 total=-287489 (-1356.08 mbb/hand)
[slumbot] Hand 2130/25000: won=100 total=-286689 (-1345.96 mbb/hand)
[slumbot] Hand 2140/25000: won=300 total=-285714 (-1335.11 mbb/hand)
[slumbot] Hand 2150/25000: won=-50 total=-286214 (-1331.23 mbb/hand)
[slumbot] Hand 2160/25000: won=-50 total=-285864 (-1323.44 mbb/hand)
[slumbot] Hand 2170/25000: won=100 total=-284014 (-1308.82 mbb/hand)
[slumbot] Hand 2180/25000: won=-50 total=-284214 (-1303.73 mbb/hand)
[slumbot] Hand 2190/25000: won=-50 total=-284289 (-1298.12 mbb/hand)
[slumbot] Hand 2200/25000: won=-50 total=-282989 (-1286.31 mbb/hand)
[slumbot] Hand 2210/25000: won=-50 total=-282039 (-1276.19 mbb/hand)
[slumbot] Hand 2220/25000: won=100 total=-288239 (-1298.37 mbb/hand)
[slumbot] Hand 2230/25000: won=-50 total=-288239 (-1292.55 mbb/hand)
[slumbot] Hand 2240/25000: won=-50 total=-287339 (-1282.76 mbb/hand)
[slumbot] Hand 2250/25000: won=-50 total=-287289 (-1276.84 mbb/hand)
[slumbot] Hand 2260/25000: won=-50 total=-287389 (-1271.63 mbb/hand)
[slumbot] Hand 2270/25000: won=-50 total=-266964 (-1176.05 mbb/hand)
[slumbot] Hand 2280/25000: won=-50 total=-267264 (-1172.21 mbb/hand)
[slumbot] Hand 2290/25000: won=100 total=-270514 (-1181.28 mbb/hand)
[slumbot] Hand 2300/25000: won=100 total=-268589 (-1167.78 mbb/hand)
[slumbot] Hand 2310/25000: won=300 total=-268589 (-1162.72 mbb/hand)
[slumbot] Hand 2320/25000: won=-50 total=-269089 (-1159.87 mbb/hand)
[slumbot] Hand 2330/25000: won=-50 total=-270239 (-1159.82 mbb/hand)
[slumbot] Hand 2340/25000: won=-50 total=-270839 (-1157.43 mbb/hand)
[slumbot] Hand 2350/25000: won=-100 total=-270339 (-1150.38 mbb/hand)
[slumbot] Hand 2360/25000: won=100 total=-281389 (-1192.33 mbb/hand)
[slumbot] Hand 2370/25000: won=-50 total=-281839 (-1189.19 mbb/hand)
[slumbot] Hand 2380/25000: won=-50 total=-281589 (-1183.15 mbb/hand)
[slumbot] Hand 2390/25000: won=-50 total=-280889 (-1175.27 mbb/hand)
[slumbot] Hand 2400/25000: won=-275 total=-282164 (-1175.68 mbb/hand)
[slumbot] Hand 2410/25000: won=-50 total=-280614 (-1164.37 mbb/hand)
[slumbot] Hand 2420/25000: won=-1800 total=-281414 (-1162.87 mbb/hand)
[slumbot] Hand 2430/25000: won=-50 total=-281564 (-1158.70 mbb/hand)
[slumbot] Hand 2440/25000: won=100 total=-281864 (-1155.18 mbb/hand)
[slumbot] Hand 2450/25000: won=-50 total=-301814 (-1231.89 mbb/hand)
[slumbot] Hand 2460/25000: won=-50 total=-302114 (-1228.11 mbb/hand)
[slumbot] Hand 2470/25000: won=-50 total=-302014 (-1222.73 mbb/hand)
[slumbot] Hand 2480/25000: won=-100 total=-304864 (-1229.29 mbb/hand)
[slumbot] Hand 2490/25000: won=-100 total=-325289 (-1306.38 mbb/hand)
[slumbot] Hand 2500/25000: won=-50 total=-325139 (-1300.56 mbb/hand)
[slumbot] Hand 2510/25000: won=100 total=-323939 (-1290.59 mbb/hand)
[slumbot] Hand 2520/25000: won=100 total=-363714 (-1443.31 mbb/hand)
[slumbot] Hand 2530/25000: won=-100 total=-365689 (-1445.41 mbb/hand)
[slumbot] Hand 2540/25000: won=100 total=-364939 (-1436.77 mbb/hand)
[slumbot] Hand 2550/25000: won=100 total=-364939 (-1431.13 mbb/hand)
